Long,Lat,Join_Count,TARGET_FID,OBJECTID_1,F1,OBJECTID,MUSYM,latitude,longitude,altitude__m_,MapKey,Poly_ID,RecNo,Color,Zone,January_Monthly_Avg_ETo,February_Monthly_Avg_ETo,March_Monthly_Avg_ETo,April_Monthly_Avg_ETo,May_Monthly_Avg_ETo,June_Monthly_Avg_ETo,July_Monthly_Avg_ETo,August_Monthly_Avg_ETo,September_Monthly_Avg_ETo,October_Monthly_Avg_ETo,November_Monthly_Avg_ETo,December_Monthly_Avg_ETo,Definition,Last_Modified_Date,Modifed_By,Date_Data_Refers_To,Source,Comments
-122.4896935346377,41.16978098118728,1,1,1000,999,1000,s516,41.16978098,-122.48969354,1982.5,378,284,46,2,13,1.24,1.96,3.1,4.8,6.51,7.8,8.99,7.75,5.7,3.72,1.8,0.93,NORTHERN SIERRA NEVADA,2022-06-23 00:00:00,aushakova,2022-06-23 00:00:00,"CIMIS, DWR",
-120.1989895610312,40.86477666113968,1,2,1400,1399,1400,s598,40.86477666,-120.19898956,1625.7,22E,174,35,2,7,0.62,1.4,2.48,3.9,5.27,6.3,7.44,6.51,4.8,2.79,1.2,0.62,NORTHEASTERN PLAINS,2022-06-23 00:00:00,aushakova,2022-06-23 00:00:00,"CIMIS, DWR",
-122.42231988922701,41.16978098118728,1,3,1001,1000,1001,s513,41.16978098,-122.42231989,1401.3,378,284,46,2,13,1.24,1.96,3.1,4.8,6.51,7.8,8.99,7.75,5.7,3.72,1.8,0.93,NORTHERN SIERRA NEVADA,2022-06-23 00:00:00,aushakova,2022-06-23 00:00:00,"CIMIS, DWR",
-122.35494624291806,41.16978098118728,1,4,1002,1001,1002,s510,41.16978098,-122.35494624,1072.4,2D0,228,39,2,10,0.93,1.68,3.1,4.5,5.89,7.2,8.06,7.13,5.1,3.1,1.5,0.93,NORTH CENTRAL PLATEAU & CENTRAL COAST RANGE,2022-06-23 00:00:00,aushakova,2022-06-23 00:00:00,"CIMIS, DWR",
-120.13161591382395,40.86477666113968,1,5,1401,1400,1401,s598,40.86477666,-120.13161591,1647.2,22E,174,35,2,7,0.62,1.4,2.48,3.9,5.27,6.3,7.44,6.51,4.8,2.79,1.2,0.62,NORTHEASTERN PLAINS,2022-06-23 00:00:00,aushakova,2022-06-23 00:00:00,"CIMIS, DWR",
-123.43292458386148,40.66065631672196,1,6,1600,1599,1600,s512,40.66065632,-123.43292458,860.8,378,284,46,2,13,1.24,1.96,3.1,4.8,6.51,7.8,8.99,7.75,5.7,3.72,1.8,0.93,NORTHERN SIERRA NEVADA,2022-06-23 00:00:00,aushakova,2022-06-23 00:00:00,"CIMIS, DWR",
-122.28757259571078,41.16978098118728,1,7,1003,1002,1003,s654,41.16978098,-122.2875726,682.2,2D0,228,39,2,10,0.93,1.68,3.1,4.5,5.89,7.2,8.06,7.13,5.1,3.1,1.5,0.93,NORTH CENTRAL PLATEAU & CENTRAL COAST RANGE,2022-06-23 00:00:00,aushakova,2022-06-23 00:00:00,"CIMIS, DWR",
-123.36555093665422,40.66065631672196,1,8,1601,1600,1601,s509,40.66065632,-123.36555094,1144.9,378,284,46,2,13,1.24,1.96,3.1,4.8,6.51,7.8,8.99,7.75,5.7,3.72,1.8,0.93,NORTHERN SIERRA NEVADA,2022-06-23 00:00:00,aushakova,2022-06-23 00:00:00,"CIMIS, DWR",
-123.0286827060077,40.5071548582455,1,9,1800,1799,1800,s512,40.50715486,-123.02868271,958.4,378,284,46,2,13,1.24,1.96,3.1,4.8,6.51,7.8,8.99,7.75,5.7,3.72,1.8,0.93,NORTHERN SIERRA NEVADA,2022-06-23 00:00:00,aushakova,2022-06-23 00:00:00,"CIMIS, DWR",
-120.06424226841328,40.86477666113968,1,10,1402,1401,1402,s607,40.86477666,-120.06424227,1793.2,22E,174,35,2,7,0.62,1.4,2.48,3.9,5.27,6.3,7.44,6.51,4.8,2.79,1.2,0.62,NORTHEASTERN PLAINS,2022-06-23 00:00:00,aushakova,2022-06-23 00:00:00,"CIMIS, DWR",
