latitude	longitude	altitude	name
37.77178321	-121.7394761	235.1	1
37.68299097	-121.9682095	214.7	2
37.79950865	-121.557332	11.8	3
37.52307662	-121.8741086	468.8	4
37.77148292	-121.5573709	33	5
37.66149947	-121.9315957	437	6
37.50107973	-121.482431	993.1	7
37.58208341	-121.7753073	180.9	8
37.49216319	-121.5527813	984.8	9
37.72250774	-121.5574215	94.8	10
37.65701339	-121.9414517	343.5	11
37.61277065	-121.5740917	570.7	12
37.6904661	-121.5574614	191.4	13
37.49745531	-121.9165891	64.1	14
37.58146431	-121.5572561	747	15
37.58676612	-121.9569813	95.1	16
37.79008552	-121.627836	72.5	17
37.58115476	-121.9244132	295.1	18
37.65667367	-121.8190236	113.4	19
37.75709616	-122.0750783	147.7	20
37.643465	-122.0048573	392.2	21
37.65616803	-121.94201	338	22
37.57426692	-121.8495576	111.6	23
37.80099445	-122.0930013	194.6	24
37.63409382	-122.0419091	69.2	25
37.57991774	-121.8464351	125.6	26
37.50213941	-121.8331351	279.1	27
37.6595461	-121.9265918	406.8	28
37.5406071	-121.8585141	108.3	29
37.67745695	-122.0344458	202.6	30
37.67542223	-122.0163274	180.1	31
37.60263242	-122.0121746	56.1	32
37.49020392	-121.747469	373.5	33
37.51402122	-121.5122462	777.8	34
37.66841934	-121.8430985	109.5	35
37.80560629	-121.6004009	18.8	36
37.68491879	-121.9336162	168.2	37
37.60847892	-121.5574991	596.1	38
37.58537697	-121.9369029	339.3	39
37.63971131	-121.7979182	159.1	40
37.65703288	-121.8205295	114.6	41
37.64442862	-122.0066691	388	42
37.58717042	-121.9606589	28.8	43
37.56060588	-121.8767115	145.6	44
37.77947257	-122.0671052	230.3	45
37.5759205	-121.8411218	153.2	46
37.78827933	-122.0908395	171.4	47
37.67106333	-121.6559567	352.4	48
37.76631789	-122.0615301	215.7	49
37.66861367	-121.9719504	440	50
37.6464767	-121.6457266	329.6	51
37.71965505	-121.8458016	181.7	52
37.57989213	-121.90027	187.5	53
37.50671274	-121.6665354	851.1	54
37.75842815	-121.7933914	227.1	55
37.49548856	-121.4788097	964.3	56
37.72126836	-122.0720893	137.2	57
37.60259025	-122.0137733	30.6	58
37.49035023	-121.9118749	123.8	59
37.49792818	-121.8677739	709.9	60
37.59749482	-121.9844221	283.7	61
37.61266178	-122.0163305	55	62
37.70578367	-121.6858047	209.2	63
37.73282403	-121.8979943	145.9	64
37.53285543	-121.9005817	338.2	65
37.76565012	-122.044262	238.7	66
37.734064	-121.9904564	490	67
37.58274446	-121.9924671	23.2	68
37.62069477	-121.9201039	593.1	69
37.67175462	-121.5577718	425.4	70
37.69763201	-121.7983558	128.5	71
37.7139655	-121.9840133	230.7	72
37.7227184	-121.7086233	173.5	73
37.77576693	-122.070528	238.5	74
37.75548225	-122.0503843	214.6	75
37.72457037	-121.9996727	224.1	76
37.50373748	-121.9171246	70.8	77
37.77466484	-121.6335686	120.6	78
37.70022216	-121.5720984	156.9	79
37.53466135	-121.8511005	111.4	80
37.66671888	-121.7826416	144.9	81
37.53172008	-121.8490925	141	82
37.78913009	-122.0680443	388.7	83
37.6513777	-121.6346014	501.7	84
37.72419816	-122.002775	226.6	85
37.75552994	-121.8043996	240.2	86
37.66487061	-121.7576135	164.5	87
37.77381567	-122.0836271	137.7	88
37.79932358	-121.6215361	46.2	89
37.66025126	-121.8085685	110.8	90
37.5737049	-121.770062	236.1	91
37.61014564	-121.893163	220.3	92
37.77043234	-122.0867671	121.3	93
37.72945682	-122.0432528	240.3	94
37.71657058	-122.0160618	207.8	95
37.69563214	-121.7821551	133.6	96
37.73830923	-121.6074402	150.2	97
37.73039178	-121.7230681	170.7	98
37.62789508	-121.774313	222.2	99
37.49716273	-121.9201385	49.1	100
37.73097767	-121.9967838	365	101
37.63841451	-121.5675315	237.8	102
37.59539552	-121.8912521	97.2	103
37.68021871	-121.8061805	127.7	104
37.756535	-121.6787574	262.4	105
37.50809264	-121.7848334	460	106
37.71362962	-122.0197998	252.3	107
37.80067201	-121.6193559	30	108
