type	latitude	longitude	altitude (m)	name
W	41.967862823	-120.959413449	1484.8	129
W	41.967862823	-120.918090946	1558.6	130
W	41.967862823	-120.876768443	1568.7	131
W	41.967862823	-120.835445939	1578.2	132
W	41.967862823	-120.794123436	1621.2	133
W	41.967862823	-120.752800933	1688.9	134
W	41.967862823	-120.711478430	1731.4	135
W	41.967862823	-120.670155927	1758.9	136
W	41.967862823	-120.628833424	1776.2	137
W	41.967862823	-120.587510921	1712.5	138
W	41.967862823	-120.546188418	1736.0	139
W	41.967862823	-120.504865915	1583.4	140
W	41.967862823	-120.463543412	1434.1	141
W	41.967862823	-120.422220909	1434.1	142
W	41.967862823	-120.380898406	1434.1	143
W	41.967862823	-120.339575903	1434.1	144
W	41.967862823	-120.298253400	1514.8	145
W	41.967862823	-120.256930897	1916.1	146
W	41.967862823	-120.215608393	2184.2	147
W	41.967862823	-120.174285890	2361.0	148
W	41.967862823	-120.132963387	2220.5	149
W	41.967862823	-120.091640884	1873.8	150
W	41.967862823	-120.050318381	1727.4	151
W	41.967862823	-120.008995878	1603.7	152
W	41.937131306	-124.182568688	9.3	153
W	41.937131306	-124.141246185	114.9	154
W	41.937131306	-124.099923682	64.0	155
W	41.937131306	-124.058601179	523.1	156
W	41.937131306	-124.017278676	640.1	157
W	41.937131306	-123.975956173	704.1	158
W	41.937131306	-123.934633670	795.2	159
W	41.937131306	-123.893311167	830.7	160
W	41.937131306	-123.851988664	938.3	161
W	41.937131306	-123.810666160	582.4	162
W	41.937131306	-123.769343657	692.7	163
W	41.937131306	-123.728021154	616.9	164
W	41.937131306	-123.686698651	815.4	165
W	41.937131306	-123.645376148	1312.1	166
W	41.937131306	-123.604053645	1341.8	167
W	41.937131306	-123.562731142	1546.6	168
W	41.937131306	-123.521408639	1423.0	169
W	41.937131306	-123.480086136	738.6	170
W	41.937131306	-123.438763633	1199.7	171
W	41.937131306	-123.397441130	1084.6	172
W	41.937131306	-123.356118627	740.8	173
W	41.937131306	-123.314796124	1477.5	174
W	41.937131306	-123.273473621	1357.6	175
W	41.937131306	-123.232151118	1221.0	176
W	41.937131306	-123.190828614	1665.3	177
W	41.937131306	-123.149506111	1510.7	178
W	41.937131306	-123.108183608	1726.7	179
W	41.937131306	-123.066861105	1660.4	180
W	41.937131306	-123.025538602	1490.3	181
W	41.937131306	-122.984216099	2034.8	182
W	41.937131306	-122.942893596	1717.6	183
W	41.937131306	-122.901571093	1513.6	184
W	41.937131306	-122.860248590	1353.2	185
W	41.937131306	-122.818926087	748.1	186
W	41.937131306	-122.777603584	1216.8	187
W	41.937131306	-122.736281081	1386.8	188
W	41.937131306	-122.694958578	1584.5	189
W	41.937131306	-122.653636075	1390.6	190
W	41.937131306	-122.612313571	978.5	191
W	41.937131306	-122.570991068	794.8	192
W	41.937131306	-122.529668565	1024.6	193
W	41.937131306	-122.488346062	885.2	194
W	41.937131306	-122.447023559	707.1	195
W	41.937131306	-122.405701056	785.9	196
W	41.937131306	-122.364378553	869.2	197
W	41.937131306	-122.323056050	1037.1	198
W	41.937131306	-122.281733547	1294.0	199
W	41.937131306	-122.240411044	1605.6	200
W	41.937131306	-122.199088541	1299.7	201
W	41.937131306	-122.157766038	1270.7	202
W	41.937131306	-122.116443535	1440.9	203
W	41.937131306	-122.075121032	1396.1	204
W	41.937131306	-122.033798529	1344.5	205
W	41.937131306	-121.992476025	1293.5	206
W	41.937131306	-121.951153522	1292.7	207
W	41.937131306	-121.909831019	1298.3	208
W	41.937131306	-121.868508516	1420.9	209
W	41.937131306	-121.827186013	1329.6	210
W	41.937131306	-121.785863510	1245.0	211
W	41.937131306	-121.744541007	1244.0	212
W	41.937131306	-121.703218504	1241.6	213
W	41.937131306	-121.661896001	1243.1	214
W	41.937131306	-121.620573498	1243.7	215
W	41.937131306	-121.579250995	1470.3	216
W	41.937131306	-121.537928492	1229.9	217
W	41.937131306	-121.496605989	1230.3	218
W	41.937131306	-121.455283486	1229.8	219
W	41.937131306	-121.413960982	1230.6	220
W	41.937131306	-121.372638479	1230.8	221
W	41.937131306	-121.331315976	1237.7	222
W	41.937131306	-121.289993473	1398.5	223
W	41.937131306	-121.248670970	1420.0	224
W	41.937131306	-121.207348467	1410.3	225
W	41.937131306	-121.166025964	1473.2	226
W	41.937131306	-121.124703461	1435.5	227
W	41.937131306	-121.083380958	1389.2	228
W	41.937131306	-121.042058455	1397.1	229
W	41.937131306	-121.000735952	1442.8	230
W	41.937131306	-120.959413449	1433.5	231
W	41.937131306	-120.918090946	1501.4	232
W	41.937131306	-120.876768443	1532.4	233
W	41.937131306	-120.835445939	1537.2	234
W	41.937131306	-120.794123436	1607.3	235
W	41.937131306	-120.752800933	1660.3	236
W	41.937131306	-120.711478430	1695.9	237
W	41.937131306	-120.670155927	1699.1	238
W	41.937131306	-120.628833424	1679.7	239
W	41.937131306	-120.587510921	1699.4	240
W	41.937131306	-120.546188418	1655.9	241
W	41.937131306	-120.504865915	1435.6	242
W	41.937131306	-120.463543412	1434.1	243
W	41.937131306	-120.422220909	1434.1	244
W	41.937131306	-120.380898406	1434.1	245
W	41.937131306	-120.339575903	1439.9	246
W	41.937131306	-120.298253400	1652.2	247
W	41.937131306	-120.256930897	1986.5	248
W	41.937131306	-120.215608393	2378.0	249
W	41.937131306	-120.174285890	2014.1	250
W	41.937131306	-120.132963387	2160.5	251
W	41.937131306	-120.091640884	1688.0	252
W	41.937131306	-120.050318381	1598.2	253
