type	latitude	longitude	altitude (m)	name	objectid
T	41.976211219	-124.174034693	327.0	data4x4 - Copy	1
T	41.976211219	-124.106661047	285.9		2
T	41.976211219	-124.039287400	330.9		3
T	41.976211219	-123.971913754	581.2		4
T	41.976211219	-123.904540108	405.4		5
T	41.976211219	-123.837166461	960.0		6
T	41.976211219	-123.769792815	1133.8		7
T	41.976211219	-123.702419169	556.6		8
T	41.976211219	-123.635045522	799.3		9
T	41.976211219	-123.567671876	1056.3		10
T	41.976211219	-123.500298230	929.8		11
T	41.976211219	-123.432924584	1497.0		12
T	41.976211219	-123.365550937	1134.7		13
T	41.976211219	-123.298177291	1686.5		14
T	41.976211219	-123.230803645	1092.0		15
T	41.976211219	-123.163429998	1256.8		16
T	41.976211219	-123.096056352	1555.6		17
T	41.976211219	-123.028682706	1461.3		18
T	41.976211219	-122.961309059	1681.9		19
T	41.976211219	-122.893935413	1303.8		20
T	41.976211219	-122.826561767	1704.4		21
T	41.976211219	-122.759188120	1052.3		22
T	41.976211219	-122.691814474	1351.0		23
T	41.976211219	-122.624440828	889.8		24
T	41.976211219	-122.557067182	969.0		25
T	41.976211219	-122.489693535	1002.5		26
T	41.976211219	-122.422319889	878.7		27
T	41.976211219	-122.354946243	844.7		28
T	41.976211219	-122.287572596	792.3		29
T	41.976211219	-122.220198950	1064.7		30
T	41.976211219	-122.152825304	1579.2		31
T	41.976211219	-122.085451657	1302.8		32
T	41.976211219	-122.018078011	1344.9		33
T	41.976211219	-121.950704365	1295.9		34
T	41.976211219	-121.883330718	1268.8		35
T	41.976211219	-121.815957072	1244.6		36
T	41.976211219	-121.748583426	1244.3		37
T	41.976211219	-121.681209779	1244.2		38
T	41.976211219	-121.613836133	1244.1		39
T	41.976211219	-121.546462487	1231.5		40
T	41.976211219	-121.479088841	1231.3		41
T	41.976211219	-121.411715194	1232.4		42
T	41.976211219	-121.344341548	1270.0		43
T	41.976211219	-121.276967902	1461.1		44
T	41.976211219	-121.209594255	1502.7		45
T	41.976211219	-121.142220609	1291.7		46
T	41.976211219	-121.074846963	1393.6		47
T	41.976211219	-121.007473316	1440.7		48
T	41.976211219	-120.940099670	1538.4		49
T	41.976211219	-120.872726024	1586.2		50
T	41.976211219	-120.805352377	1614.0		51
T	41.976211219	-120.737978731	1708.8		52
T	41.976211219	-120.670605085	1770.9		53
T	41.976211219	-120.603231439	1643.3		54
T	41.976211219	-120.535857792	1743.7		55
T	41.976211219	-120.468484146	1434.1		56
T	41.976211219	-120.401110500	1434.1		57
T	41.976211219	-120.333736853	1434.1		58
T	41.976211219	-120.266363207	1921.5		59
T	41.976211219	-120.198989561	2226.2		60
T	41.976211219	-120.131615914	2158.1		61
T	41.976211219	-120.064242268	1764.4		62
T	41.926104434	-124.174034693	4.1		63
T	41.926104434	-124.106661047	84.4		64
T	41.926104434	-124.039287400	331.8		65
T	41.926104434	-123.971913754	764.6		66
T	41.926104434	-123.904540108	823.4		67
T	41.926104434	-123.837166461	584.1		68
T	41.926104434	-123.769792815	621.4		69
T	41.926104434	-123.702419169	865.6		70
T	41.926104434	-123.635045522	1311.2		71
T	41.926104434	-123.567671876	1284.0		72
T	41.926104434	-123.500298230	959.4		73
T	41.926104434	-123.432924584	1066.4		74
T	41.926104434	-123.365550937	1075.9		75
T	41.926104434	-123.298177291	1326.5		76
T	41.926104434	-123.230803645	1471.1		77
T	41.926104434	-123.163429998	1491.2		78
T	41.926104434	-123.096056352	1198.7		79
T	41.926104434	-123.028682706	1702.8		80
T	41.926104434	-122.961309059	2027.2		81
T	41.926104434	-122.893935413	1564.5		82
T	41.926104434	-122.826561767	826.4		83
T	41.926104434	-122.759188120	1090.1		84
T	41.926104434	-122.691814474	1463.2		85
T	41.926104434	-122.624440828	1172.8		86
T	41.926104434	-122.557067182	840.6		87
T	41.926104434	-122.489693535	759.2		88
T	41.926104434	-122.422319889	738.2		89
T	41.926104434	-122.354946243	848.1		90
T	41.926104434	-122.287572596	1397.8		91
T	41.926104434	-122.220198950	1659.1		92
T	41.926104434	-122.152825304	1368.7		93
T	41.926104434	-122.085451657	1413.8		94
T	41.926104434	-122.018078011	1294.1		95
T	41.926104434	-121.950704365	1292.7		96
T	41.926104434	-121.883330718	1475.5		97
T	41.926104434	-121.815957072	1271.4		98
T	41.926104434	-121.748583426	1246.2		99
T	41.926104434	-121.681209779	1242.0		100
T	41.926104434	-121.613836133	1243.7		101
T	41.926104434	-121.546462487	1227.6		102
T	41.926104434	-121.479088841	1228.9		103
T	41.926104434	-121.411715194	1230.2		104
T	41.926104434	-121.344341548	1230.9		105
T	41.926104434	-121.276967902	1423.8		106
T	41.926104434	-121.209594255	1407.4		107
T	41.926104434	-121.142220609	1402.8		108
T	41.926104434	-121.074846963	1364.9		109
T	41.926104434	-121.007473316	1416.4		110
T	41.926104434	-120.940099670	1477.1		111
T	41.926104434	-120.872726024	1503.4		112
T	41.926104434	-120.805352377	1604.5		113
T	41.926104434	-120.737978731	1689.6		114
T	41.926104434	-120.670605085	1660.0		115
T	41.926104434	-120.603231439	1668.7		116
T	41.926104434	-120.535857792	1625.5		117
T	41.926104434	-120.468484146	1434.1		118
T	41.926104434	-120.401110500	1434.1		119
T	41.926104434	-120.333736853	1454.9		120
T	41.926104434	-120.266363207	1891.3		121
T	41.926104434	-120.198989561	2001.5		122
T	41.926104434	-120.131615914	1788.7		123
T	41.926104434	-120.064242268	1657.1		124
T	41.875958266	-124.174034693	7.0		125
T	41.875958266	-124.106661047	132.8		126
T	41.875958266	-124.039287400	547.1		127
T	41.875958266	-123.971913754	518.0		128
T	41.875958266	-123.904540108	1018.8		129
T	41.875958266	-123.837166461	516.2		130
T	41.875958266	-123.769792815	636.3		131
T	41.875958266	-123.702419169	1173.7		132
T	41.875958266	-123.635045522	1337.6		133
T	41.875958266	-123.567671876	1119.4		134
T	41.875958266	-123.500298230	746.4		135
T	41.875958266	-123.432924584	635.8		136
T	41.875958266	-123.365550937	1231.4		137
T	41.875958266	-123.298177291	602.4		138
T	41.875958266	-123.230803645	752.1		139
T	41.875958266	-123.163429998	708.6		140
T	41.875958266	-123.096056352	819.8		141
T	41.875958266	-123.028682706	921.5		142
T	41.875958266	-122.961309059	1525.5		143
T	41.875958266	-122.893935413	783.8		144
T	41.875958266	-122.826561767	704.1		145
T	41.875958266	-122.759188120	1091.5		146
T	41.875958266	-122.691814474	1014.0		147
T	41.875958266	-122.624440828	1245.3		148
T	41.875958266	-122.557067182	634.7		149
T	41.875958266	-122.489693535	818.7		150
T	41.875958266	-122.422319889	798.3		151
T	41.875958266	-122.354946243	1121.6		152
T	41.875958266	-122.287572596	1686.3		153
T	41.875958266	-122.220198950	1880.8		154
T	41.875958266	-122.152825304	1549.7		155
T	41.875958266	-122.085451657	1290.2		156
T	41.875958266	-122.018078011	1293.1		157
T	41.875958266	-121.950704365	1290.3		158
T	41.875958266	-121.883330718	1294.3		159
T	41.875958266	-121.815957072	1378.2		160
T	41.875958266	-121.748583426	1369.1		161
T	41.875958266	-121.681209779	1341.7		162
T	41.875958266	-121.613836133	1317.2		163
T	41.875958266	-121.546462487	1227.1		164
T	41.875958266	-121.479088841	1227.9		165
T	41.875958266	-121.411715194	1229.6		166
T	41.875958266	-121.344341548	1231.3		167
T	41.875958266	-121.276967902	1344.8		168
T	41.875958266	-121.209594255	1366.6		169
T	41.875958266	-121.142220609	1366.6		170
T	41.875958266	-121.074846963	1366.6		171
T	41.875958266	-121.007473316	1407.9		172
T	41.875958266	-120.940099670	1446.7		173
T	41.875958266	-120.872726024	1533.6		174
T	41.875958266	-120.805352377	1546.1		175
T	41.875958266	-120.737978731	1558.5		176
T	41.875958266	-120.670605085	1561.1		177
T	41.875958266	-120.603231439	1583.2		178
T	41.875958266	-120.535857792	1588.8		179
T	41.875958266	-120.468484146	1434.1		180
T	41.875958266	-120.401110500	1434.1		181
T	41.875958266	-120.333736853	1514.9		182
T	41.875958266	-120.266363207	1954.4		183
T	41.875958266	-120.198989561	1868.2		184
T	41.875958266	-120.131615914	1385.9		185
T	41.875958266	-120.064242268	1522.6		186
T	41.825772720	-124.174034693	5.9		187
T	41.825772720	-124.106661047	36.0		188
T	41.825772720	-124.039287400	232.2		189
T	41.825772720	-123.971913754	574.8		190
T	41.825772720	-123.904540108	827.6		191
T	41.825772720	-123.837166461	653.4		192
T	41.825772720	-123.769792815	1185.7		193
T	41.825772720	-123.702419169	1475.9		194
T	41.825772720	-123.635045522	1461.4		195
T	41.825772720	-123.567671876	1503.5		196
T	41.825772720	-123.500298230	1335.2		197
T	41.825772720	-123.432924584	830.6		198
T	41.825772720	-123.365550937	765.7		199
T	41.825772720	-123.298177291	365.0		200
T	41.825772720	-123.230803645	796.2		201
T	41.825772720	-123.163429998	556.1		202
T	41.825772720	-123.096056352	1051.7		203
T	41.825772720	-123.028682706	694.5		204
T	41.825772720	-122.961309059	497.5		205
T	41.825772720	-122.893935413	733.2		206
T	41.825772720	-122.826561767	632.7		207
T	41.825772720	-122.759188120	1035.2		208
T	41.825772720	-122.691814474	766.0		209
T	41.825772720	-122.624440828	893.6		210
T	41.825772720	-122.557067182	896.1		211
T	41.825772720	-122.489693535	779.9		212
T	41.825772720	-122.422319889	789.5		213
T	41.825772720	-122.354946243	999.6		214
T	41.825772720	-122.287572596	1581.6		215
T	41.825772720	-122.220198950	1996.8		216
T	41.825772720	-122.152825304	1725.6		217
T	41.825772720	-122.085451657	1355.4		218
T	41.825772720	-122.018078011	1295.8		219
T	41.825772720	-121.950704365	1310.0		220
T	41.825772720	-121.883330718	1528.8		221
T	41.825772720	-121.815957072	1445.6		222
T	41.825772720	-121.748583426	1280.0		223
T	41.825772720	-121.681209779	1353.9		224
T	41.825772720	-121.613836133	1305.7		225
T	41.825772720	-121.546462487	1239.5		226
T	41.825772720	-121.479088841	1243.2		227
T	41.825772720	-121.411715194	1229.0		228
T	41.825772720	-121.344341548	1230.5		229
T	41.825772720	-121.276967902	1347.0		230
T	41.825772720	-121.209594255	1397.0		231
T	41.825772720	-121.142220609	1366.6		232
T	41.825772720	-121.074846963	1378.6		233
T	41.825772720	-121.007473316	1431.6		234
T	41.825772720	-120.940099670	1450.2		235
T	41.825772720	-120.872726024	1622.1		236
T	41.825772720	-120.805352377	1545.3		237
T	41.825772720	-120.737978731	1514.9		238
T	41.825772720	-120.670605085	1540.9		239
T	41.825772720	-120.603231439	1578.3		240
T	41.825772720	-120.535857792	1538.6		241
T	41.825772720	-120.468484146	1434.0		242
T	41.825772720	-120.401110500	1434.0		243
T	41.825772720	-120.333736853	1777.1		244
T	41.825772720	-120.266363207	1688.0		245
T	41.825772720	-120.198989561	1909.1		246
T	41.825772720	-120.131615914	1358.1		247
T	41.825772720	-120.064242268	1510.5		248
T	41.775547805	-124.241408339	13.4		249
T	41.775547805	-124.174034693	12.0		250
T	41.775547805	-124.106661047	146.6		251
T	41.775547805	-124.039287400	492.0		252
T	41.775547805	-123.971913754	817.7		253
T	41.775547805	-123.904540108	729.5		254
T	41.775547805	-123.837166461	859.4		255
T	41.775547805	-123.769792815	1319.4		256
T	41.775547805	-123.702419169	1331.7		257
T	41.775547805	-123.635045522	1007.3		258
T	41.775547805	-123.567671876	1148.9		259
T	41.775547805	-123.500298230	841.1		260
T	41.775547805	-123.432924584	684.0		261
T	41.775547805	-123.365550937	744.0		262
T	41.775547805	-123.298177291	550.2		263
T	41.775547805	-123.230803645	873.4		264
T	41.775547805	-123.163429998	1073.1		265
T	41.775547805	-123.096056352	925.7		266
T	41.775547805	-123.028682706	543.8		267
T	41.775547805	-122.961309059	1240.7		268
T	41.775547805	-122.893935413	1034.2		269
T	41.775547805	-122.826561767	1320.2		270
T	41.775547805	-122.759188120	1048.0		271
T	41.775547805	-122.691814474	1129.9		272
T	41.775547805	-122.624440828	857.4		273
T	41.775547805	-122.557067182	904.5		274
T	41.775547805	-122.489693535	804.8		275
T	41.775547805	-122.422319889	879.0		276
T	41.775547805	-122.354946243	1092.4		277
T	41.775547805	-122.287572596	1449.3		278
T	41.775547805	-122.220198950	1682.4		279
T	41.775547805	-122.152825304	2086.4		280
T	41.775547805	-122.085451657	1299.4		281
T	41.775547805	-122.018078011	1299.7		282
T	41.775547805	-121.950704365	1304.6		283
T	41.775547805	-121.883330718	1389.3		284
T	41.775547805	-121.815957072	1340.9		285
T	41.775547805	-121.748583426	1323.2		286
T	41.775547805	-121.681209779	1376.0		287
T	41.775547805	-121.613836133	1391.5		288
T	41.775547805	-121.546462487	1296.3		289
T	41.775547805	-121.479088841	1274.3		290
T	41.775547805	-121.411715194	1265.0		291
T	41.775547805	-121.344341548	1262.8		292
T	41.775547805	-121.276967902	1375.9		293
T	41.775547805	-121.209594255	1364.1		294
T	41.775547805	-121.142220609	1383.4		295
T	41.775547805	-121.074846963	1390.8		296
T	41.775547805	-121.007473316	1433.7		297
T	41.775547805	-120.940099670	1477.6		298
T	41.775547805	-120.872726024	1563.8		299
T	41.775547805	-120.805352377	1493.6		300
T	41.775547805	-120.737978731	1541.4		301
T	41.775547805	-120.670605085	1522.6		302
T	41.775547805	-120.603231439	1546.3		303
T	41.775547805	-120.535857792	1562.9		304
T	41.775547805	-120.468484146	1434.0		305
T	41.775547805	-120.401110500	1436.4		306
T	41.775547805	-120.333736853	1775.4		307
T	41.775547805	-120.266363207	1867.8		308
T	41.775547805	-120.198989561	1772.5		309
T	41.775547805	-120.131615914	1356.5		310
T	41.775547805	-120.064242268	1372.6		311
T	41.725283529	-124.106661047	106.8		312
T	41.725283529	-124.039287400	168.0		313
T	41.725283529	-123.971913754	120.3		314
T	41.725283529	-123.904540108	615.0		315
T	41.725283529	-123.837166461	835.7		316
T	41.725283529	-123.769792815	1184.6		317
T	41.725283529	-123.702419169	1075.3		318
T	41.725283529	-123.635045522	1381.3		319
T	41.725283529	-123.567671876	712.6		320
T	41.725283529	-123.500298230	430.8		321
T	41.725283529	-123.432924584	452.3		322
T	41.725283529	-123.365550937	472.6		323
T	41.725283529	-123.298177291	767.6		324
T	41.725283529	-123.230803645	1064.2		325
T	41.725283529	-123.163429998	1776.6		326
T	41.725283529	-123.096056352	1407.0		327
T	41.725283529	-123.028682706	1004.7		328
T	41.725283529	-122.961309059	1177.2		329
T	41.725283529	-122.893935413	1752.5		330
T	41.725283529	-122.826561767	1424.0		331
T	41.725283529	-122.759188120	1379.3		332
T	41.725283529	-122.691814474	958.7		333
T	41.725283529	-122.624440828	934.7		334
T	41.725283529	-122.557067182	749.2		335
T	41.725283529	-122.489693535	795.9		336
T	41.725283529	-122.422319889	819.2		337
T	41.725283529	-122.354946243	876.7		338
T	41.725283529	-122.287572596	1252.4		339
T	41.725283529	-122.220198950	2258.3		340
T	41.725283529	-122.152825304	1697.3		341
T	41.725283529	-122.085451657	1583.0		342
T	41.725283529	-122.018078011	1498.5		343
T	41.725283529	-121.950704365	1397.9		344
T	41.725283529	-121.883330718	1449.5		345
T	41.725283529	-121.815957072	1340.8		346
T	41.725283529	-121.748583426	1485.5		347
T	41.725283529	-121.681209779	1423.6		348
T	41.725283529	-121.613836133	1462.3		349
T	41.725283529	-121.546462487	1503.8		350
T	41.725283529	-121.479088841	1350.7		351
T	41.725283529	-121.411715194	1293.5		352
T	41.725283529	-121.344341548	1275.6		353
T	41.725283529	-121.276967902	1299.4		354
T	41.725283529	-121.209594255	1323.0		355
T	41.725283529	-121.142220609	1386.8		356
T	41.725283529	-121.074846963	1413.8		357
T	41.725283529	-121.007473316	1448.0		358
T	41.725283529	-120.940099670	1516.4		359
T	41.725283529	-120.872726024	1488.1		360
T	41.725283529	-120.805352377	1499.1		361
T	41.725283529	-120.737978731	1610.0		362
T	41.725283529	-120.670605085	1528.8		363
T	41.725283529	-120.603231439	1548.8		364
T	41.725283529	-120.535857792	1560.6		365
T	41.725283529	-120.468484146	1435.0		366
T	41.725283529	-120.401110500	1447.1		367
T	41.725283529	-120.333736853	1689.0		368
T	41.725283529	-120.266363207	2263.3		369
T	41.725283529	-120.198989561	1378.6		370
T	41.725283529	-120.131615914	1356.4		371
T	41.725283529	-120.064242268	1473.3		372
T	41.674979900	-124.106661047	361.7		373
T	41.674979900	-124.039287400	510.9		374
T	41.674979900	-123.971913754	742.5		375
T	41.674979900	-123.904540108	345.4		376
T	41.674979900	-123.837166461	706.6		377
T	41.674979900	-123.769792815	596.7		378
T	41.674979900	-123.702419169	1433.8		379
T	41.674979900	-123.635045522	1064.2		380
T	41.674979900	-123.567671876	1293.8		381
T	41.674979900	-123.500298230	790.6		382
T	41.674979900	-123.432924584	293.5		383
T	41.674979900	-123.365550937	979.9		384
T	41.674979900	-123.298177291	1117.5		385
T	41.674979900	-123.230803645	1832.9		386
T	41.674979900	-123.163429998	1482.7		387
T	41.674979900	-123.096056352	924.8		388
T	41.674979900	-123.028682706	1605.5		389
T	41.674979900	-122.961309059	1455.1		390
T	41.674979900	-122.893935413	1060.6		391
T	41.674979900	-122.826561767	922.4		392
T	41.674979900	-122.759188120	1354.0		393
T	41.674979900	-122.691814474	994.0		394
T	41.674979900	-122.624440828	874.7		395
T	41.674979900	-122.557067182	825.5		396
T	41.674979900	-122.489693535	800.9		397
T	41.674979900	-122.422319889	839.2		398
T	41.674979900	-122.354946243	879.1		399
T	41.674979900	-122.287572596	1464.8		400
T	41.674979900	-122.220198950	1860.2		401
T	41.674979900	-122.152825304	1731.8		402
T	41.674979900	-122.085451657	1513.8		403
T	41.674979900	-122.018078011	1420.1		404
T	41.674979900	-121.950704365	1365.5		405
T	41.674979900	-121.883330718	1393.8		406
T	41.674979900	-121.815957072	1366.9		407
T	41.674979900	-121.748583426	1469.1		408
T	41.674979900	-121.681209779	1647.5		409
T	41.674979900	-121.613836133	1811.0		410
T	41.674979900	-121.546462487	1675.6		411
T	41.674979900	-121.479088841	1510.7		412
T	41.674979900	-121.411715194	1325.1		413
T	41.674979900	-121.344341548	1287.5		414
T	41.674979900	-121.276967902	1265.7		415
T	41.674979900	-121.209594255	1312.9		416
T	41.674979900	-121.142220609	1387.2		417
T	41.674979900	-121.074846963	1476.4		418
T	41.674979900	-121.007473316	1496.8		419
T	41.674979900	-120.940099670	1513.5		420
T	41.674979900	-120.872726024	1512.4		421
T	41.674979900	-120.805352377	1525.9		422
T	41.674979900	-120.737978731	1521.0		423
T	41.674979900	-120.670605085	1509.5		424
T	41.674979900	-120.603231439	1522.4		425
T	41.674979900	-120.535857792	1528.9		426
T	41.674979900	-120.468484146	1524.6		427
T	41.674979900	-120.401110500	1449.2		428
T	41.674979900	-120.333736853	1815.4		429
T	41.674979900	-120.266363207	2187.5		430
T	41.674979900	-120.198989561	1358.1		431
T	41.674979900	-120.131615914	1356.2		432
T	41.674979900	-120.064242268	1571.9		433
T	41.624636925	-124.106661047	219.3		434
T	41.624636925	-124.039287400	393.9		435
T	41.624636925	-123.971913754	692.9		436
T	41.624636925	-123.904540108	449.5		437
T	41.624636925	-123.837166461	1005.6		438
T	41.624636925	-123.769792815	927.3		439
T	41.624636925	-123.702419169	1608.6		440
T	41.624636925	-123.635045522	1148.6		441
T	41.624636925	-123.567671876	1405.2		442
T	41.624636925	-123.500298230	518.5		443
T	41.624636925	-123.432924584	742.4		444
T	41.624636925	-123.365550937	1498.3		445
T	41.624636925	-123.298177291	1141.8		446
T	41.624636925	-123.230803645	1907.2		447
T	41.624636925	-123.163429998	1199.2		448
T	41.624636925	-123.096056352	937.3		449
T	41.624636925	-123.028682706	1559.6		450
T	41.624636925	-122.961309059	818.1		451
T	41.624636925	-122.893935413	822.8		452
T	41.624636925	-122.826561767	847.7		453
T	41.624636925	-122.759188120	891.4		454
T	41.624636925	-122.691814474	1518.8		455
T	41.624636925	-122.624440828	1448.5		456
T	41.624636925	-122.557067182	1030.3		457
T	41.624636925	-122.489693535	811.3		458
T	41.624636925	-122.422319889	804.1		459
T	41.624636925	-122.354946243	867.0		460
T	41.624636925	-122.287572596	1255.6		461
T	41.624636925	-122.220198950	1850.1		462
T	41.624636925	-122.152825304	1699.9		463
T	41.624636925	-122.085451657	1606.6		464
T	41.624636925	-122.018078011	1423.9		465
T	41.624636925	-121.950704365	1414.9		466
T	41.624636925	-121.883330718	1427.0		467
T	41.624636925	-121.815957072	1509.1		468
T	41.624636925	-121.748583426	1627.8		469
T	41.624636925	-121.681209779	1766.4		470
T	41.624636925	-121.613836133	2086.7		471
T	41.624636925	-121.546462487	2085.5		472
T	41.624636925	-121.479088841	1773.9		473
T	41.624636925	-121.411715194	1402.7		474
T	41.624636925	-121.344341548	1321.2		475
T	41.624636925	-121.276967902	1423.9		476
T	41.624636925	-121.209594255	1325.8		477
T	41.624636925	-121.142220609	1393.6		478
T	41.624636925	-121.074846963	1482.1		479
T	41.624636925	-121.007473316	1563.4		480
T	41.624636925	-120.940099670	1537.0		481
T	41.624636925	-120.872726024	1510.8		482
T	41.624636925	-120.805352377	1509.6		483
T	41.624636925	-120.737978731	1543.3		484
T	41.624636925	-120.670605085	1510.8		485
T	41.624636925	-120.603231439	1506.5		486
T	41.624636925	-120.535857792	1510.1		487
T	41.624636925	-120.468484146	1567.9		488
T	41.624636925	-120.401110500	1461.5		489
T	41.624636925	-120.333736853	1697.6		490
T	41.624636925	-120.266363207	2088.7		491
T	41.624636925	-120.198989561	1401.1		492
T	41.624636925	-120.131615914	1380.4		493
T	41.624636925	-120.064242268	1564.2		494
T	41.574254612	-124.039287400	205.1		495
T	41.574254612	-123.971913754	220.0		496
T	41.574254612	-123.904540108	581.3		497
T	41.574254612	-123.837166461	932.8		498
T	41.574254612	-123.769792815	1061.7		499
T	41.574254612	-123.702419169	1224.8		500
T	41.574254612	-123.635045522	693.3		501
T	41.574254612	-123.567671876	329.4		502
T	41.574254612	-123.500298230	839.5		503
T	41.574254612	-123.432924584	756.2		504
T	41.574254612	-123.365550937	1659.7		505
T	41.574254612	-123.298177291	1819.8		506
T	41.574254612	-123.230803645	1494.1		507
T	41.574254612	-123.163429998	1609.9		508
T	41.574254612	-123.096056352	2314.6		509
T	41.574254612	-123.028682706	1414.2		510
T	41.574254612	-122.961309059	885.8		511
T	41.574254612	-122.893935413	1056.3		512
T	41.574254612	-122.826561767	843.5		513
T	41.574254612	-122.759188120	1146.5		514
T	41.574254612	-122.691814474	1041.1		515
T	41.574254612	-122.624440828	1263.2		516
T	41.574254612	-122.557067182	873.5		517
T	41.574254612	-122.489693535	806.9		518
T	41.574254612	-122.422319889	821.2		519
T	41.574254612	-122.354946243	855.8		520
T	41.574254612	-122.287572596	990.7		521
T	41.574254612	-122.220198950	1528.7		522
T	41.574254612	-122.152825304	1696.7		523
T	41.574254612	-122.085451657	1665.6		524
T	41.574254612	-122.018078011	1775.0		525
T	41.574254612	-121.950704365	1588.4		526
T	41.574254612	-121.883330718	1497.4		527
T	41.574254612	-121.815957072	1857.9		528
T	41.574254612	-121.748583426	1876.9		529
T	41.574254612	-121.681209779	2025.1		530
T	41.574254612	-121.613836133	2101.7		531
T	41.574254612	-121.546462487	2136.8		532
T	41.574254612	-121.479088841	1792.2		533
T	41.574254612	-121.411715194	1414.2		534
T	41.574254612	-121.344341548	1320.8		535
T	41.574254612	-121.276967902	1317.7		536
T	41.574254612	-121.209594255	1362.3		537
T	41.574254612	-121.142220609	1433.4		538
T	41.574254612	-121.074846963	1489.6		539
T	41.574254612	-121.007473316	1524.8		540
T	41.574254612	-120.940099670	1535.1		541
T	41.574254612	-120.872726024	1512.7		542
T	41.574254612	-120.805352377	1484.2		543
T	41.574254612	-120.737978731	1563.0		544
T	41.574254612	-120.670605085	1512.6		545
T	41.574254612	-120.603231439	1492.3		546
T	41.574254612	-120.535857792	1479.5		547
T	41.574254612	-120.468484146	1509.4		548
T	41.574254612	-120.401110500	1514.6		549
T	41.574254612	-120.333736853	1809.2		550
T	41.574254612	-120.266363207	2034.7		551
T	41.574254612	-120.198989561	1753.5		552
T	41.574254612	-120.131615914	1359.5		553
T	41.574254612	-120.064242268	1391.3		554
T	41.523832970	-124.039287400	8.6		555
T	41.523832970	-123.971913754	137.1		556
T	41.523832970	-123.904540108	1247.8		557
T	41.523832970	-123.837166461	528.7		558
T	41.523832970	-123.769792815	1345.5		559
T	41.523832970	-123.702419169	979.7		560
T	41.523832970	-123.635045522	944.8		561
T	41.523832970	-123.567671876	1184.9		562
T	41.523832970	-123.500298230	648.3		563
T	41.523832970	-123.432924584	1575.3		564
T	41.523832970	-123.365550937	1655.4		565
T	41.523832970	-123.298177291	1321.1		566
T	41.523832970	-123.230803645	1610.3		567
T	41.523832970	-123.163429998	1372.4		568
T	41.523832970	-123.096056352	2069.1		569
T	41.523832970	-123.028682706	1760.2		570
T	41.523832970	-122.961309059	1031.9		571
T	41.523832970	-122.893935413	844.0		572
T	41.523832970	-122.826561767	1222.6		573
T	41.523832970	-122.759188120	1217.7		574
T	41.523832970	-122.691814474	1140.0		575
T	41.523832970	-122.624440828	1260.0		576
T	41.523832970	-122.557067182	1030.1		577
T	41.523832970	-122.489693535	853.8		578
T	41.523832970	-122.422319889	811.6		579
T	41.523832970	-122.354946243	944.5		580
T	41.523832970	-122.287572596	1129.7		581
T	41.523832970	-122.220198950	1356.3		582
T	41.523832970	-122.152825304	2229.6		583
T	41.523832970	-122.085451657	1664.3		584
T	41.523832970	-122.018078011	1713.3		585
T	41.523832970	-121.950704365	1956.3		586
T	41.523832970	-121.883330718	1788.4		587
T	41.523832970	-121.815957072	1804.3		588
T	41.523832970	-121.748583426	1850.1		589
T	41.523832970	-121.681209779	1734.0		590
T	41.523832970	-121.613836133	1807.3		591
T	41.523832970	-121.546462487	1811.1		592
T	41.523832970	-121.479088841	2018.8		593
T	41.523832970	-121.411715194	1340.9		594
T	41.523832970	-121.344341548	1299.5		595
T	41.523832970	-121.276967902	1335.5		596
T	41.523832970	-121.209594255	1412.1		597
T	41.523832970	-121.142220609	1468.4		598
T	41.523832970	-121.074846963	1478.3		599
T	41.523832970	-121.007473316	1499.5		600
T	41.523832970	-120.940099670	1540.5		601
T	41.523832970	-120.872726024	1529.3		602
T	41.523832970	-120.805352377	1447.3		603
T	41.523832970	-120.737978731	1469.0		604
T	41.523832970	-120.670605085	1527.4		605
T	41.523832970	-120.603231439	1567.6		606
T	41.523832970	-120.535857792	1458.6		607
T	41.523832970	-120.468484146	1362.7		608
T	41.523832970	-120.401110500	1448.1		609
T	41.523832970	-120.333736853	2055.4		610
T	41.523832970	-120.266363207	1969.0		611
T	41.523832970	-120.198989561	1787.9		612
T	41.523832970	-120.131615914	1362.8		613
T	41.523832970	-120.064242268	1371.5		614
T	41.473372008	-124.039287400	134.5		615
T	41.473372008	-123.971913754	191.7		616
T	41.473372008	-123.904540108	407.7		617
T	41.473372008	-123.837166461	553.6		618
T	41.473372008	-123.769792815	816.5		619
T	41.473372008	-123.702419169	1040.9		620
T	41.473372008	-123.635045522	1287.2		621
T	41.473372008	-123.567671876	637.8		622
T	41.473372008	-123.500298230	323.4		623
T	41.473372008	-123.432924584	1155.4		624
T	41.473372008	-123.365550937	1030.5		625
T	41.473372008	-123.298177291	1043.1		626
T	41.473372008	-123.230803645	1253.6		627
T	41.473372008	-123.163429998	1543.0		628
T	41.473372008	-123.096056352	1548.6		629
T	41.473372008	-123.028682706	1616.4		630
T	41.473372008	-122.961309059	1453.5		631
T	41.473372008	-122.893935413	870.4		632
T	41.473372008	-122.826561767	858.1		633
T	41.473372008	-122.759188120	1391.7		634
T	41.473372008	-122.691814474	1565.4		635
T	41.473372008	-122.624440828	1224.3		636
T	41.473372008	-122.557067182	1243.6		637
T	41.473372008	-122.489693535	921.3		638
T	41.473372008	-122.422319889	899.0		639
T	41.473372008	-122.354946243	1034.0		640
T	41.473372008	-122.287572596	1565.7		641
T	41.473372008	-122.220198950	2028.6		642
