time,relhumid-min_day_CNRM-CM5_rcp85
2006-05-07 00:00:00+00:00,57.042145
2006-05-08 00:00:00+00:00,50.91784
2006-05-09 00:00:00+00:00,37.76873
2006-05-10 00:00:00+00:00,30.663998
2006-05-11 00:00:00+00:00,36.548203
2006-05-12 00:00:00+00:00,40.81824
2006-05-13 00:00:00+00:00,41.47554
2006-05-14 00:00:00+00:00,34.70113
2006-05-15 00:00:00+00:00,35.60625
2006-05-16 00:00:00+00:00,23.271454
2006-05-17 00:00:00+00:00,20.512194
2006-05-18 00:00:00+00:00,24.761803
2006-05-19 00:00:00+00:00,19.945965
2006-05-20 00:00:00+00:00,19.268873
2006-05-21 00:00:00+00:00,25.281815
2006-05-22 00:00:00+00:00,26.809723
2006-05-23 00:00:00+00:00,26.293337
2006-05-24 00:00:00+00:00,24.625683
2006-05-25 00:00:00+00:00,28.848066
2006-05-26 00:00:00+00:00,28.288021
2006-05-27 00:00:00+00:00,24.40863
2006-05-28 00:00:00+00:00,24.447548
2006-05-29 00:00:00+00:00,16.328133
2006-05-30 00:00:00+00:00,14.166424
2006-05-31 00:00:00+00:00,15.27845
2006-06-01 00:00:00+00:00,25.494335
2006-06-02 00:00:00+00:00,29.656118
2006-06-03 00:00:00+00:00,29.182095
2006-06-04 00:00:00+00:00,29.14747
2006-06-05 00:00:00+00:00,46.024654
2006-06-06 00:00:00+00:00,42.25064
2006-06-07 00:00:00+00:00,34.115864
2006-06-08 00:00:00+00:00,31.93935
2006-06-09 00:00:00+00:00,41.57181
2006-06-10 00:00:00+00:00,34.871826
2006-06-11 00:00:00+00:00,24.711273
2006-06-12 00:00:00+00:00,16.742111
2006-06-13 00:00:00+00:00,16.304203
2006-06-14 00:00:00+00:00,17.962109
2006-06-15 00:00:00+00:00,19.509905
2006-06-16 00:00:00+00:00,16.47537
2006-06-17 00:00:00+00:00,17.507328
2006-06-18 00:00:00+00:00,25.891829
2006-06-19 00:00:00+00:00,20.263348
2006-06-20 00:00:00+00:00,18.025743
2006-06-21 00:00:00+00:00,24.935963
2006-06-22 00:00:00+00:00,29.18313
2006-06-23 00:00:00+00:00,29.712475
2006-06-24 00:00:00+00:00,23.805271
2006-06-25 00:00:00+00:00,22.277483
2006-06-26 00:00:00+00:00,35.675835
2006-06-27 00:00:00+00:00,41.516335
2006-06-28 00:00:00+00:00,31.29008
2006-06-29 00:00:00+00:00,25.198622
2006-06-30 00:00:00+00:00,30.833841
2006-07-01 00:00:00+00:00,37.909554
2006-07-02 00:00:00+00:00,43.099983
2006-07-03 00:00:00+00:00,37.012196
2006-07-04 00:00:00+00:00,33.831
2006-07-05 00:00:00+00:00,31.789816
2006-07-06 00:00:00+00:00,38.18064
2006-07-07 00:00:00+00:00,57.166286
2006-07-08 00:00:00+00:00,44.08241
2006-07-09 00:00:00+00:00,32.609497
2006-07-10 00:00:00+00:00,29.111721
2006-07-11 00:00:00+00:00,25.098745
2006-07-12 00:00:00+00:00,25.508099
2006-07-13 00:00:00+00:00,30.56247
2006-07-14 00:00:00+00:00,28.687305
2006-07-15 00:00:00+00:00,26.067438
2006-07-16 00:00:00+00:00,25.6707
2006-07-17 00:00:00+00:00,28.206676
2006-07-18 00:00:00+00:00,35.067562
2006-07-19 00:00:00+00:00,38.840126
2006-07-20 00:00:00+00:00,33.490654
2006-07-21 00:00:00+00:00,30.385984
2006-07-22 00:00:00+00:00,24.784761
2006-07-23 00:00:00+00:00,26.382324
2006-07-24 00:00:00+00:00,32.034473
2006-07-25 00:00:00+00:00,29.509285
2006-07-26 00:00:00+00:00,26.981447
2006-07-27 00:00:00+00:00,25.128948
2006-07-28 00:00:00+00:00,23.950563
2006-07-29 00:00:00+00:00,22.772146
2006-07-30 00:00:00+00:00,22.750013
2006-07-31 00:00:00+00:00,23.461443
2006-08-01 00:00:00+00:00,22.403652
