time,relhumid-max_day_CNRM-CM5_rcp85
2006-05-07 00:00:00+00:00,91.13641
2006-05-08 00:00:00+00:00,87.65556
2006-05-09 00:00:00+00:00,79.29732
2006-05-10 00:00:00+00:00,75.41696
2006-05-11 00:00:00+00:00,73.29061
2006-05-12 00:00:00+00:00,87.064384
2006-05-13 00:00:00+00:00,86.65556
2006-05-14 00:00:00+00:00,88.990654
2006-05-15 00:00:00+00:00,77.92475
2006-05-16 00:00:00+00:00,72.55664
2006-05-17 00:00:00+00:00,63.49343
2006-05-18 00:00:00+00:00,66.098595
2006-05-19 00:00:00+00:00,63.267914
2006-05-20 00:00:00+00:00,59.476707
2006-05-21 00:00:00+00:00,70.07748
2006-05-22 00:00:00+00:00,72.78216
2006-05-23 00:00:00+00:00,77.882935
2006-05-24 00:00:00+00:00,72.8366
2006-05-25 00:00:00+00:00,75.30215
2006-05-26 00:00:00+00:00,79.05676
2006-05-27 00:00:00+00:00,75.792244
2006-05-28 00:00:00+00:00,68.04982
2006-05-29 00:00:00+00:00,63.85744
2006-05-30 00:00:00+00:00,52.915024
2006-05-31 00:00:00+00:00,53.92474
2006-06-01 00:00:00+00:00,76.5847
2006-06-02 00:00:00+00:00,70.95997
2006-06-03 00:00:00+00:00,78.06906
2006-06-04 00:00:00+00:00,79.36447
2006-06-05 00:00:00+00:00,93.216385
2006-06-06 00:00:00+00:00,90.39066
2006-06-07 00:00:00+00:00,86.56218
2006-06-08 00:00:00+00:00,85.11357
2006-06-09 00:00:00+00:00,92.960846
2006-06-10 00:00:00+00:00,83.06579
2006-06-11 00:00:00+00:00,70.65458
2006-06-12 00:00:00+00:00,57.814064
2006-06-13 00:00:00+00:00,56.379677
2006-06-14 00:00:00+00:00,56.582073
2006-06-15 00:00:00+00:00,60.376404
2006-06-16 00:00:00+00:00,50.366184
2006-06-17 00:00:00+00:00,53.49742
2006-06-18 00:00:00+00:00,71.87877
2006-06-19 00:00:00+00:00,68.870224
2006-06-20 00:00:00+00:00,59.664814
2006-06-21 00:00:00+00:00,83.636505
2006-06-22 00:00:00+00:00,84.89819
2006-06-23 00:00:00+00:00,85.57377
2006-06-24 00:00:00+00:00,82.85907
2006-06-25 00:00:00+00:00,78.41832
2006-06-26 00:00:00+00:00,97.77948
2006-06-27 00:00:00+00:00,99.369484
2006-06-28 00:00:00+00:00,97.23607
2006-06-29 00:00:00+00:00,86.48785
2006-06-30 00:00:00+00:00,90.85589
2006-07-01 00:00:00+00:00,99.57334
2006-07-02 00:00:00+00:00,99.896706
2006-07-03 00:00:00+00:00,99.896965
2006-07-04 00:00:00+00:00,99.29104
2006-07-05 00:00:00+00:00,90.39377
2006-07-06 00:00:00+00:00,97.72133
2006-07-07 00:00:00+00:00,98.82419
2006-07-08 00:00:00+00:00,97.60954
2006-07-09 00:00:00+00:00,93.82132
2006-07-10 00:00:00+00:00,90.80545
2006-07-11 00:00:00+00:00,83.004295
2006-07-12 00:00:00+00:00,84.89465
2006-07-13 00:00:00+00:00,97.56454
2006-07-14 00:00:00+00:00,94.51281
2006-07-15 00:00:00+00:00,87.142395
2006-07-16 00:00:00+00:00,87.97093
2006-07-17 00:00:00+00:00,94.87642
2006-07-18 00:00:00+00:00,99.490395
2006-07-19 00:00:00+00:00,99.33188
2006-07-20 00:00:00+00:00,99.20176
2006-07-21 00:00:00+00:00,95.94377
2006-07-22 00:00:00+00:00,87.931885
2006-07-23 00:00:00+00:00,89.38682
2006-07-24 00:00:00+00:00,96.912865
2006-07-25 00:00:00+00:00,99.04651
2006-07-26 00:00:00+00:00,92.64343
2006-07-27 00:00:00+00:00,84.89623
2006-07-28 00:00:00+00:00,84.10642
2006-07-29 00:00:00+00:00,83.52008
2006-07-30 00:00:00+00:00,85.22553
2006-07-31 00:00:00+00:00,90.82504
2006-08-01 00:00:00+00:00,85.1274
2006-08-02 00:00:00+00:00,85.4318
2006-08-03 00:00:00+00:00,85.74112
2006-08-04 00:00:00+00:00,75.12255
2006-08-05 00:00:00+00:00,79.66777
2006-08-06 00:00:00+00:00,81.66204
2006-08-07 00:00:00+00:00,87.22131
2006-08-08 00:00:00+00:00,88.53625
2006-08-09 00:00:00+00:00,85.88293
2006-08-10 00:00:00+00:00,79.666794
2006-08-11 00:00:00+00:00,74.90484
2006-08-12 00:00:00+00:00,69.470375
2006-08-13 00:00:00+00:00,83.160194
2006-08-14 00:00:00+00:00,93.08962
2006-08-15 00:00:00+00:00,99.155396
2006-08-16 00:00:00+00:00,91.25208
2006-08-17 00:00:00+00:00,96.9403
2006-08-18 00:00:00+00:00,85.615776
2006-08-19 00:00:00+00:00,77.88928
2006-08-20 00:00:00+00:00,71.76936
2006-08-21 00:00:00+00:00,81.65219
2006-08-22 00:00:00+00:00,84.711815
2006-08-23 00:00:00+00:00,96.99881
2006-08-24 00:00:00+00:00,96.57142
2006-08-25 00:00:00+00:00,96.3863
2006-08-26 00:00:00+00:00,97.08334
2006-08-27 00:00:00+00:00,97.50595
2006-08-28 00:00:00+00:00,97.34621
2006-08-29 00:00:00+00:00,94.70675
2006-08-30 00:00:00+00:00,94.3055
2006-08-31 00:00:00+00:00,85.48003
2006-09-01 00:00:00+00:00,77.0263
2006-09-02 00:00:00+00:00,93.89246
2006-09-03 00:00:00+00:00,98.35893
2006-09-04 00:00:00+00:00,98.20385
2006-09-05 00:00:00+00:00,90.88994
2006-09-06 00:00:00+00:00,87.957634
2006-09-07 00:00:00+00:00,83.14057
2006-09-08 00:00:00+00:00,76.23615
2006-09-09 00:00:00+00:00,78.253044
2006-09-10 00:00:00+00:00,94.44721
2006-09-11 00:00:00+00:00,95.97129
2006-09-12 00:00:00+00:00,96.7162
2006-09-13 00:00:00+00:00,96.753235
2006-09-14 00:00:00+00:00,98.43159
2006-09-15 00:00:00+00:00,96.83769
2006-09-16 00:00:00+00:00,99.56752
2006-09-17 00:00:00+00:00,99.551414
2006-09-18 00:00:00+00:00,99.17279
2006-09-19 00:00:00+00:00,99.82491
2006-09-20 00:00:00+00:00,96.608116
2006-09-21 00:00:00+00:00,98.583595
2006-09-22 00:00:00+00:00,98.804436
2006-09-23 00:00:00+00:00,92.812584
2006-09-24 00:00:00+00:00,72.34119
2006-09-25 00:00:00+00:00,50.664917
2006-09-26 00:00:00+00:00,48.235718
2006-09-27 00:00:00+00:00,62.44632
2006-09-28 00:00:00+00:00,92.0566
2006-09-29 00:00:00+00:00,92.26395
2006-09-30 00:00:00+00:00,72.13029
2006-10-01 00:00:00+00:00,72.07164
2006-10-02 00:00:00+00:00,53.914803
2006-10-03 00:00:00+00:00,80.034584
2006-10-04 00:00:00+00:00,92.849976
2006-10-05 00:00:00+00:00,99.62576
2006-10-06 00:00:00+00:00,99.13631
2006-10-07 00:00:00+00:00,99.35261
2006-10-08 00:00:00+00:00,97.70058
2006-10-09 00:00:00+00:00,97.58868
2006-10-10 00:00:00+00:00,97.2798
2006-10-11 00:00:00+00:00,97.93283
2006-10-12 00:00:00+00:00,97.43546
2006-10-13 00:00:00+00:00,94.34651
2006-10-14 00:00:00+00:00,95.97602
2006-10-15 00:00:00+00:00,92.65859
2006-10-16 00:00:00+00:00,94.16463
2006-10-17 00:00:00+00:00,91.98349
2006-10-18 00:00:00+00:00,83.9454
2006-10-19 00:00:00+00:00,71.14572
2006-10-20 00:00:00+00:00,79.25714
2006-10-21 00:00:00+00:00,80.46696
2006-10-22 00:00:00+00:00,57.8225
2006-10-23 00:00:00+00:00,55.550716
2006-10-24 00:00:00+00:00,68.27174
2006-10-25 00:00:00+00:00,62.485718
2006-10-26 00:00:00+00:00,63.78514
2006-10-27 00:00:00+00:00,59.40127
2006-10-28 00:00:00+00:00,76.8958
2006-10-29 00:00:00+00:00,93.30796
2006-10-30 00:00:00+00:00,77.77809
2006-10-31 00:00:00+00:00,77.96874
2006-11-01 00:00:00+00:00,80.7977
2006-11-02 00:00:00+00:00,99.81939
2006-11-03 00:00:00+00:00,99.9456
2006-11-04 00:00:00+00:00,99.90678
2006-11-05 00:00:00+00:00,96.40371
2006-11-06 00:00:00+00:00,79.89347
2006-11-07 00:00:00+00:00,78.18049
2006-11-08 00:00:00+00:00,92.84924
2006-11-09 00:00:00+00:00,94.67987
2006-11-10 00:00:00+00:00,88.88912
2006-11-11 00:00:00+00:00,82.57477
2006-11-12 00:00:00+00:00,95.753914
2006-11-13 00:00:00+00:00,97.206085
2006-11-14 00:00:00+00:00,98.72887
2006-11-15 00:00:00+00:00,97.902794
2006-11-16 00:00:00+00:00,98.23005
2006-11-17 00:00:00+00:00,97.73457
2006-11-18 00:00:00+00:00,98.34777
2006-11-19 00:00:00+00:00,99.260544
2006-11-20 00:00:00+00:00,98.90436
2006-11-21 00:00:00+00:00,98.79328
2006-11-22 00:00:00+00:00,86.84179
2006-11-23 00:00:00+00:00,83.656425
2006-11-24 00:00:00+00:00,95.74416
2006-11-25 00:00:00+00:00,91.71368
2006-11-26 00:00:00+00:00,89.850975
2006-11-27 00:00:00+00:00,88.51493
2006-11-28 00:00:00+00:00,87.06631
2006-11-29 00:00:00+00:00,82.51371
2006-11-30 00:00:00+00:00,85.469475
2006-12-01 00:00:00+00:00,79.950645
2006-12-02 00:00:00+00:00,74.48525
2006-12-03 00:00:00+00:00,85.55512
2006-12-04 00:00:00+00:00,82.62425
2006-12-05 00:00:00+00:00,75.08187
2006-12-06 00:00:00+00:00,78.57282
2006-12-07 00:00:00+00:00,80.46
2006-12-08 00:00:00+00:00,90.21274
2006-12-09 00:00:00+00:00,89.26015
2006-12-10 00:00:00+00:00,89.12002
2006-12-11 00:00:00+00:00,94.79194
2006-12-12 00:00:00+00:00,92.141136
2006-12-13 00:00:00+00:00,88.43942
2006-12-14 00:00:00+00:00,87.11094
2006-12-15 00:00:00+00:00,84.44786
2006-12-16 00:00:00+00:00,87.10717
2006-12-17 00:00:00+00:00,87.99698
2006-12-18 00:00:00+00:00,90.59368
2006-12-19 00:00:00+00:00,89.976746
2006-12-20 00:00:00+00:00,90.51921
2006-12-21 00:00:00+00:00,88.0339
2006-12-22 00:00:00+00:00,96.07976
2006-12-23 00:00:00+00:00,96.2212
2006-12-24 00:00:00+00:00,97.352356
2006-12-25 00:00:00+00:00,97.98623
2006-12-26 00:00:00+00:00,92.394936
2006-12-27 00:00:00+00:00,99.83735
2006-12-28 00:00:00+00:00,99.15099
2006-12-29 00:00:00+00:00,95.949036
2006-12-30 00:00:00+00:00,96.63805
2006-12-31 00:00:00+00:00,99.85915
2007-01-01 00:00:00+00:00,96.58404
2007-01-02 00:00:00+00:00,99.780235
2007-01-03 00:00:00+00:00,97.18142
2007-01-04 00:00:00+00:00,95.52964
2007-01-05 00:00:00+00:00,99.98064
2007-01-06 00:00:00+00:00,96.06419
2007-01-07 00:00:00+00:00,83.213715
2007-01-08 00:00:00+00:00,84.31763
2007-01-09 00:00:00+00:00,94.68999
2007-01-10 00:00:00+00:00,94.24316
2007-01-11 00:00:00+00:00,76.297516
2007-01-12 00:00:00+00:00,81.73222
2007-01-13 00:00:00+00:00,87.70272
2007-01-14 00:00:00+00:00,90.00491
2007-01-15 00:00:00+00:00,93.72902
2007-01-16 00:00:00+00:00,88.99278
2007-01-17 00:00:00+00:00,90.12664
2007-01-18 00:00:00+00:00,87.95865
2007-01-19 00:00:00+00:00,87.07068
2007-01-20 00:00:00+00:00,89.301796
2007-01-21 00:00:00+00:00,87.657166
2007-01-22 00:00:00+00:00,90.09439
2007-01-23 00:00:00+00:00,81.43692
2007-01-24 00:00:00+00:00,77.818695
2007-01-25 00:00:00+00:00,84.597755
2007-01-26 00:00:00+00:00,78.667816
2007-01-27 00:00:00+00:00,88.0226
2007-01-28 00:00:00+00:00,92.51892
2007-01-29 00:00:00+00:00,95.172005
2007-01-30 00:00:00+00:00,93.53403
2007-01-31 00:00:00+00:00,94.41845
2007-02-01 00:00:00+00:00,95.86914
2007-02-02 00:00:00+00:00,96.77173
2007-02-03 00:00:00+00:00,94.744995
2007-02-04 00:00:00+00:00,79.12362
2007-02-05 00:00:00+00:00,85.972305
2007-02-06 00:00:00+00:00,95.31876
2007-02-07 00:00:00+00:00,88.444725
2007-02-08 00:00:00+00:00,78.24215
2007-02-09 00:00:00+00:00,87.9054
2007-02-10 00:00:00+00:00,91.085
2007-02-11 00:00:00+00:00,92.07887
2007-02-12 00:00:00+00:00,84.65985
2007-02-13 00:00:00+00:00,89.573494
2007-02-14 00:00:00+00:00,93.276505
2007-02-15 00:00:00+00:00,94.40222
2007-02-16 00:00:00+00:00,92.85578
2007-02-17 00:00:00+00:00,95.47114
2007-02-18 00:00:00+00:00,97.219215
2007-02-19 00:00:00+00:00,96.83777
