time,wspeed_day_CNRM-CM5_rcp85
2006-05-03 00:00:00+00:00,3.9167395
2006-05-04 00:00:00+00:00,2.2318048
2006-05-05 00:00:00+00:00,3.2286286
2006-05-06 00:00:00+00:00,4.838163
2006-05-07 00:00:00+00:00,5.2599387
2006-05-08 00:00:00+00:00,4.0280533
2006-05-09 00:00:00+00:00,2.1213312
2006-05-10 00:00:00+00:00,2.2899144
2006-05-11 00:00:00+00:00,3.447249
2006-05-12 00:00:00+00:00,3.4365826
2006-05-13 00:00:00+00:00,3.001877
2006-05-14 00:00:00+00:00,4.1468983
2006-05-15 00:00:00+00:00,4.230614
2006-05-16 00:00:00+00:00,4.065373
2006-05-17 00:00:00+00:00,2.2031198
2006-05-18 00:00:00+00:00,4.4077578
2006-05-19 00:00:00+00:00,2.7614853
2006-05-20 00:00:00+00:00,1.822651
2006-05-21 00:00:00+00:00,3.0715814
2006-05-22 00:00:00+00:00,3.471402
2006-05-23 00:00:00+00:00,3.5137303
2006-05-24 00:00:00+00:00,4.3689327
2006-05-25 00:00:00+00:00,4.073887
2006-05-26 00:00:00+00:00,3.171449
2006-05-27 00:00:00+00:00,3.2321746
2006-05-28 00:00:00+00:00,4.8270354
2006-05-29 00:00:00+00:00,3.407146
2006-05-30 00:00:00+00:00,1.633689
2006-05-31 00:00:00+00:00,2.5989974
2006-06-01 00:00:00+00:00,5.44074
2006-06-02 00:00:00+00:00,3.795034
2006-06-03 00:00:00+00:00,3.2898138
2006-06-04 00:00:00+00:00,3.0556333
2006-06-05 00:00:00+00:00,4.1155944
2006-06-06 00:00:00+00:00,2.729737
2006-06-07 00:00:00+00:00,3.3023508
2006-06-08 00:00:00+00:00,3.7232046
2006-06-09 00:00:00+00:00,2.024491
2006-06-10 00:00:00+00:00,2.502425
2006-06-11 00:00:00+00:00,4.5046
2006-06-12 00:00:00+00:00,2.8594587
2006-06-13 00:00:00+00:00,2.222652
2006-06-14 00:00:00+00:00,2.8260202
2006-06-15 00:00:00+00:00,5.667165
2006-06-16 00:00:00+00:00,5.1692123
2006-06-17 00:00:00+00:00,2.218648
2006-06-18 00:00:00+00:00,4.0026803
2006-06-19 00:00:00+00:00,2.2281163
2006-06-20 00:00:00+00:00,3.4291599
2006-06-21 00:00:00+00:00,4.108182
2006-06-22 00:00:00+00:00,4.701511
2006-06-23 00:00:00+00:00,3.3559332
2006-06-24 00:00:00+00:00,2.9172223
2006-06-25 00:00:00+00:00,3.6094823
2006-06-26 00:00:00+00:00,4.525039
2006-06-27 00:00:00+00:00,3.0487683
2006-06-28 00:00:00+00:00,1.849009
2006-06-29 00:00:00+00:00,2.3457658
2006-06-30 00:00:00+00:00,4.274866
2006-07-01 00:00:00+00:00,3.2300944
2006-07-02 00:00:00+00:00,2.6472237
2006-07-03 00:00:00+00:00,2.5421798
2006-07-04 00:00:00+00:00,2.8346648
2006-07-05 00:00:00+00:00,3.3151371
2006-07-06 00:00:00+00:00,3.818571
2006-07-07 00:00:00+00:00,3.887336
2006-07-08 00:00:00+00:00,2.3687477
2006-07-09 00:00:00+00:00,2.712853
2006-07-10 00:00:00+00:00,3.1921186
2006-07-11 00:00:00+00:00,2.8949764
2006-07-12 00:00:00+00:00,2.4068425
2006-07-13 00:00:00+00:00,3.1163924
2006-07-14 00:00:00+00:00,3.4365857
2006-07-15 00:00:00+00:00,3.0346968
2006-07-16 00:00:00+00:00,2.875714
2006-07-17 00:00:00+00:00,3.8820407
2006-07-18 00:00:00+00:00,3.3006787
2006-07-19 00:00:00+00:00,3.6645904
2006-07-20 00:00:00+00:00,2.862806
2006-07-21 00:00:00+00:00,2.6454132
2006-07-22 00:00:00+00:00,2.61268
2006-07-23 00:00:00+00:00,3.3551252
2006-07-24 00:00:00+00:00,4.1042237
2006-07-25 00:00:00+00:00,2.8239548
2006-07-26 00:00:00+00:00,3.053246
2006-07-27 00:00:00+00:00,2.8525343
2006-07-28 00:00:00+00:00,3.0251691
2006-07-29 00:00:00+00:00,2.7871456
2006-07-30 00:00:00+00:00,3.296729
2006-07-31 00:00:00+00:00,3.0583587
2006-08-01 00:00:00+00:00,3.2393556
2006-08-02 00:00:00+00:00,2.8049269
2006-08-03 00:00:00+00:00,2.6657379
2006-08-04 00:00:00+00:00,2.5684416
