time,tasmax_day_CNRM-CM5_rcp85
2006-05-07 00:00:00+00:00,292.36008
2006-05-08 00:00:00+00:00,292.04266
2006-05-09 00:00:00+00:00,296.37332
2006-05-10 00:00:00+00:00,299.87857
2006-05-11 00:00:00+00:00,297.8381
2006-05-12 00:00:00+00:00,295.58875
2006-05-13 00:00:00+00:00,294.21594
2006-05-14 00:00:00+00:00,298.86887
2006-05-15 00:00:00+00:00,299.6834
2006-05-16 00:00:00+00:00,306.06674
2006-05-17 00:00:00+00:00,308.9686
2006-05-18 00:00:00+00:00,307.4197
2006-05-19 00:00:00+00:00,308.01752
2006-05-20 00:00:00+00:00,308.16473
2006-05-21 00:00:00+00:00,307.63757
2006-05-22 00:00:00+00:00,307.86713
2006-05-23 00:00:00+00:00,307.52994
2006-05-24 00:00:00+00:00,306.0031
2006-05-25 00:00:00+00:00,302.9871
2006-05-26 00:00:00+00:00,303.0443
2006-05-27 00:00:00+00:00,305.8774
2006-05-28 00:00:00+00:00,306.6428
2006-05-29 00:00:00+00:00,309.7518
2006-05-30 00:00:00+00:00,311.42935
2006-05-31 00:00:00+00:00,310.64127
2006-06-01 00:00:00+00:00,304.61453
2006-06-02 00:00:00+00:00,296.2754
2006-06-03 00:00:00+00:00,296.07208
2006-06-04 00:00:00+00:00,300.09915
2006-06-05 00:00:00+00:00,295.34543
2006-06-06 00:00:00+00:00,293.80698
2006-06-07 00:00:00+00:00,296.80304
2006-06-08 00:00:00+00:00,298.71106
2006-06-09 00:00:00+00:00,297.4612
2006-06-10 00:00:00+00:00,303.0177
2006-06-11 00:00:00+00:00,308.16547
2006-06-12 00:00:00+00:00,311.59933
2006-06-13 00:00:00+00:00,312.82382
2006-06-14 00:00:00+00:00,312.14148
2006-06-15 00:00:00+00:00,310.83664
2006-06-16 00:00:00+00:00,308.48148
2006-06-17 00:00:00+00:00,305.6657
2006-06-18 00:00:00+00:00,303.1215
2006-06-19 00:00:00+00:00,305.89343
2006-06-20 00:00:00+00:00,307.7833
2006-06-21 00:00:00+00:00,305.80063
2006-06-22 00:00:00+00:00,302.6346
2006-06-23 00:00:00+00:00,301.83743
2006-06-24 00:00:00+00:00,304.6503
2006-06-25 00:00:00+00:00,307.13242
2006-06-26 00:00:00+00:00,301.98257
2006-06-27 00:00:00+00:00,298.31952
2006-06-28 00:00:00+00:00,302.40747
2006-06-29 00:00:00+00:00,305.63937
2006-06-30 00:00:00+00:00,304.18002
2006-07-01 00:00:00+00:00,301.8198
2006-07-02 00:00:00+00:00,298.76004
2006-07-03 00:00:00+00:00,300.54205
2006-07-04 00:00:00+00:00,301.8853
2006-07-05 00:00:00+00:00,302.3802
2006-07-06 00:00:00+00:00,300.02255
2006-07-07 00:00:00+00:00,295.32764
2006-07-08 00:00:00+00:00,296.09006
2006-07-09 00:00:00+00:00,300.54828
2006-07-10 00:00:00+00:00,301.47244
2006-07-11 00:00:00+00:00,303.52774
2006-07-12 00:00:00+00:00,304.20178
2006-07-13 00:00:00+00:00,304.3928
2006-07-14 00:00:00+00:00,304.62634
2006-07-15 00:00:00+00:00,306.28998
2006-07-16 00:00:00+00:00,307.14883
2006-07-17 00:00:00+00:00,306.82336
2006-07-18 00:00:00+00:00,303.07373
2006-07-19 00:00:00+00:00,301.23175
2006-07-20 00:00:00+00:00,303.12296
2006-07-21 00:00:00+00:00,304.08777
2006-07-22 00:00:00+00:00,306.5965
2006-07-23 00:00:00+00:00,305.76263
2006-07-24 00:00:00+00:00,303.36615
2006-07-25 00:00:00+00:00,305.5969
2006-07-26 00:00:00+00:00,307.47556
2006-07-27 00:00:00+00:00,308.17398
2006-07-28 00:00:00+00:00,308.46967
2006-07-29 00:00:00+00:00,308.36063
2006-07-30 00:00:00+00:00,307.76096
2006-07-31 00:00:00+00:00,307.83337
2006-08-01 00:00:00+00:00,307.69318
2006-08-02 00:00:00+00:00,308.03967
2006-08-03 00:00:00+00:00,308.80518
2006-08-04 00:00:00+00:00,310.1193
2006-08-05 00:00:00+00:00,308.94196
2006-08-06 00:00:00+00:00,307.50687
2006-08-07 00:00:00+00:00,306.3008
2006-08-08 00:00:00+00:00,307.62628
2006-08-09 00:00:00+00:00,307.29608
2006-08-10 00:00:00+00:00,307.9029
2006-08-11 00:00:00+00:00,309.4386
2006-08-12 00:00:00+00:00,309.31427
2006-08-13 00:00:00+00:00,307.47894
2006-08-14 00:00:00+00:00,304.62662
2006-08-15 00:00:00+00:00,303.72696
2006-08-16 00:00:00+00:00,304.9272
2006-08-17 00:00:00+00:00,304.73727
2006-08-18 00:00:00+00:00,306.9806
2006-08-19 00:00:00+00:00,309.774
2006-08-20 00:00:00+00:00,311.56958
2006-08-21 00:00:00+00:00,311.20636
2006-08-22 00:00:00+00:00,308.95676
2006-08-23 00:00:00+00:00,306.69482
2006-08-24 00:00:00+00:00,307.1906
2006-08-25 00:00:00+00:00,305.53708
2006-08-26 00:00:00+00:00,303.34247
2006-08-27 00:00:00+00:00,302.05353
2006-08-28 00:00:00+00:00,302.55875
2006-08-29 00:00:00+00:00,301.44836
2006-08-30 00:00:00+00:00,301.72778
2006-08-31 00:00:00+00:00,304.46393
2006-09-01 00:00:00+00:00,306.63586
2006-09-02 00:00:00+00:00,301.2843
2006-09-03 00:00:00+00:00,298.5214
2006-09-04 00:00:00+00:00,300.06546
2006-09-05 00:00:00+00:00,305.59744
2006-09-06 00:00:00+00:00,308.70636
2006-09-07 00:00:00+00:00,309.36932
2006-09-08 00:00:00+00:00,309.74072
2006-09-09 00:00:00+00:00,306.3883
2006-09-10 00:00:00+00:00,303.8504
2006-09-11 00:00:00+00:00,302.83347
2006-09-12 00:00:00+00:00,301.69073
2006-09-13 00:00:00+00:00,301.8095
2006-09-14 00:00:00+00:00,302.89172
2006-09-15 00:00:00+00:00,305.87802
2006-09-16 00:00:00+00:00,304.5649
2006-09-17 00:00:00+00:00,303.0545
2006-09-18 00:00:00+00:00,298.94302
2006-09-19 00:00:00+00:00,296.80862
2006-09-20 00:00:00+00:00,299.0624
2006-09-21 00:00:00+00:00,299.1075
2006-09-22 00:00:00+00:00,299.69855
2006-09-23 00:00:00+00:00,300.96216
2006-09-24 00:00:00+00:00,301.02148
2006-09-25 00:00:00+00:00,301.74118
2006-09-26 00:00:00+00:00,303.60483
2006-09-27 00:00:00+00:00,302.99103
2006-09-28 00:00:00+00:00,302.1559
2006-09-29 00:00:00+00:00,304.4665
2006-09-30 00:00:00+00:00,306.44235
2006-10-01 00:00:00+00:00,306.63858
2006-10-02 00:00:00+00:00,304.8368
2006-10-03 00:00:00+00:00,304.03986
2006-10-04 00:00:00+00:00,302.33154
2006-10-05 00:00:00+00:00,301.4217
2006-10-06 00:00:00+00:00,301.6302
2006-10-07 00:00:00+00:00,300.16238
2006-10-08 00:00:00+00:00,298.9141
2006-10-09 00:00:00+00:00,298.74405
2006-10-10 00:00:00+00:00,295.04965
2006-10-11 00:00:00+00:00,296.9754
2006-10-12 00:00:00+00:00,296.01212
2006-10-13 00:00:00+00:00,294.64755
2006-10-14 00:00:00+00:00,292.8706
2006-10-15 00:00:00+00:00,297.0936
2006-10-16 00:00:00+00:00,297.1778
2006-10-17 00:00:00+00:00,298.99078
2006-10-18 00:00:00+00:00,302.04996
2006-10-19 00:00:00+00:00,303.4656
2006-10-20 00:00:00+00:00,303.59085
2006-10-21 00:00:00+00:00,304.25098
2006-10-22 00:00:00+00:00,303.979
2006-10-23 00:00:00+00:00,303.53702
2006-10-24 00:00:00+00:00,302.6567
2006-10-25 00:00:00+00:00,302.80038
2006-10-26 00:00:00+00:00,302.1019
2006-10-27 00:00:00+00:00,300.4808
2006-10-28 00:00:00+00:00,298.48862
2006-10-29 00:00:00+00:00,295.85373
2006-10-30 00:00:00+00:00,291.5905
2006-10-31 00:00:00+00:00,293.8362
2006-11-01 00:00:00+00:00,296.18918
2006-11-02 00:00:00+00:00,293.03137
2006-11-03 00:00:00+00:00,289.88528
2006-11-04 00:00:00+00:00,289.75772
2006-11-05 00:00:00+00:00,292.5307
