type	latitude	longitude	altitude (m)	name
W	41.942807124	-115.418781990	1808.4	128
W	41.942807124	-115.348781990	2113.4	129
W	41.942807124	-115.278781990	2146.5	130
W	41.942807124	-115.208781990	2065.8	131
W	41.942807124	-115.138781990	2172.7	132
W	41.942807124	-115.068781990	2477.5	133
W	41.942807124	-114.998781990	1994.4	134
W	41.942807124	-114.928781990	1894.8	135
W	41.942807124	-114.858781990	2070.3	136
W	41.942807124	-114.788781990	1811.7	137
W	41.942807124	-114.718781990	1672.3	138
W	41.942807124	-114.648781990	1573.1	139
W	41.942807124	-114.578781990	1700.3	140
W	41.942807124	-114.508781990	1890.3	141
W	41.942807124	-114.438781990	1919.9	142
W	41.942807124	-114.368781990	1806.9	143
W	41.942807124	-114.298781990	2160.8	144
W	41.942807124	-114.228781990	1672.1	145
W	41.872807124	-124.308781990	0.0	146
W	41.872807124	-124.238781990	0.0	147
W	41.872807124	-124.168781990	8.9	148
W	41.872807124	-124.098781990	270.7	149
W	41.872807124	-124.028781990	621.0	150
W	41.872807124	-123.958781990	453.0	151
W	41.872807124	-123.888781990	764.9	152
W	41.872807124	-123.818781990	453.3	153
W	41.872807124	-123.748781990	518.0	154
W	41.872807124	-123.678781990	1397.0	155
W	41.872807124	-123.608781990	1943.5	156
W	41.872807124	-123.538781990	996.9	157
W	41.872807124	-123.468781990	656.4	158
W	41.872807124	-123.398781990	670.1	159
W	41.872807124	-123.328781990	540.7	160
W	41.872807124	-123.258781990	514.0	161
W	41.872807124	-123.188781990	967.9	162
W	41.872807124	-123.118781990	920.9	163
W	41.872807124	-123.048781990	829.1	164
W	41.872807124	-122.978781990	1153.5	165
W	41.872807124	-122.908781990	1016.4	166
W	41.872807124	-122.838781990	938.5	167
W	41.872807124	-122.768781990	1152.6	168
W	41.872807124	-122.698781990	823.7	169
W	41.872807124	-122.628781990	1127.2	170
W	41.872807124	-122.558781990	636.5	171
W	41.872807124	-122.488781990	813.3	172
W	41.872807124	-122.418781990	837.4	173
W	41.872807124	-122.348781990	1291.6	174
W	41.872807124	-122.278781990	1783.0	175
W	41.872807124	-122.208781990	1791.7	176
W	41.872807124	-122.138781990	1509.1	177
W	41.872807124	-122.068781990	1291.1	178
W	41.872807124	-121.998781990	1292.0	179
W	41.872807124	-121.928781990	1291.0	180
W	41.872807124	-121.858781990	1734.0	181
W	41.872807124	-121.788781990	1254.7	182
W	41.872807124	-121.718781990	1244.7	183
W	41.872807124	-121.648781990	1374.5	184
W	41.872807124	-121.578781990	1443.2	185
W	41.872807124	-121.508781990	1228.0	186
W	41.872807124	-121.438781990	1228.9	187
W	41.872807124	-121.368781990	1231.0	188
W	41.872807124	-121.298781990	1336.9	189
W	41.872807124	-121.228781990	1373.7	190
W	41.872807124	-121.158781990	1366.6	191
W	41.872807124	-121.088781990	1366.6	192
W	41.872807124	-121.018781990	1403.9	193
W	41.872807124	-120.948781990	1421.8	194
W	41.872807124	-120.878781990	1530.0	195
W	41.872807124	-120.808781990	1546.1	196
W	41.872807124	-120.738781990	1549.0	197
W	41.872807124	-120.668781990	1556.5	198
W	41.872807124	-120.598781990	1587.6	199
W	41.872807124	-120.528781990	1549.7	200
W	41.872807124	-120.458781990	1434.1	201
W	41.872807124	-120.388781990	1434.1	202
W	41.872807124	-120.318781990	1533.2	203
W	41.872807124	-120.248781990	2160.1	204
W	41.872807124	-120.178781990	1686.6	205
W	41.872807124	-120.108781990	1384.6	206
W	41.872807124	-120.038781990	1628.9	207
W	41.872807124	-119.968781990	1706.1	208
W	41.872807124	-119.898781990	1855.1	209
W	41.872807124	-119.828781990	1800.3	210
W	41.872807124	-119.758781990	1981.9	211
W	41.872807124	-119.688781990	1691.6	212
W	41.872807124	-119.618781990	1908.3	213
W	41.872807124	-119.548781990	1774.0	214
W	41.872807124	-119.478781990	1759.3	215
W	41.872807124	-119.408781990	2045.5	216
W	41.872807124	-119.338781990	2090.5	217
W	41.872807124	-119.268781990	1834.6	218
W	41.872807124	-119.198781990	1813.7	219
W	41.872807124	-119.128781990	1648.5	220
W	41.872807124	-119.058781990	1536.2	221
